Etunimi;Lukumäärä
Vuorio;1756
Vepsäläinen;1752
Lyytikäinen;1747
Pakkanen;1746
Junttila;1744
Vanhanen;1738
Nyholm;1737
Kontio;1732
Sandberg;1732
Wikström;1731
Tahvanainen;1730
Vainionpää;1730
Närhi;1729
Tapio;1726
Hakanen;1724
Saarelainen;1724
Kujanpää;1717
Lempinen;1716
Kosunen;1715
Hurme;1714
Jantunen;1709
Helander;1707
Pöyhönen;1707
Suutari;1705
Honkala;1696
Inkinen;1693
Tauriainen;1685
Tuomainen;1684
Hynninen;1683
Hyytiäinen;1683
Minkkinen;1682
Ekholm;1681
Saukkonen;1673
Rintamäki;1668
Saukko;1661
Kaartinen;1657
Remes;1654
Kääriäinen;1644
Nummela;1644
Kautto;1638
Piironen;1634
Koivu;1628
Pirhonen;1628
Nurmela;1626
Puttonen;1622
Pyykkö;1617
Vanhala;1617
Kivioja;1613
Palonen;1613
Itkonen;1610
Santala;1609
Selin;1609
Tammi;1607
Söderlund;1603
Tuomaala;1597
Harjula;1593
Romppanen;1589
Lukkarinen;1588
Grönlund;1582
Halttunen;1578
Ahmed;1576
Nikkanen;1576
Määttänen;1571
Pyykkönen;1568
Sundqvist;1567
Tossavainen;1565
Lindeman;1563
Mäkilä;1560
Piispanen;1559
Setälä;1559
Kalliomäki;1558
Pekkanen;1558
Välimaa;1558
Tiilikainen;1555
Tukiainen;1553
Kananen;1550
Tyni;1549
Koivumäki;1547
Myllylä;1546
Tuomela;1544
Ryhänen;1534
Sivula;1533
Hakola;1517
Kuitunen;1514
Valtanen;1514
Lintunen;1511
Hellsten;1499
Ahtiainen;1491
Pietiläinen;1486
Päivärinta;1485
Ketonen;1484
Hovi;1482
Hellman;1481
Kangasniemi;1481
Happonen;1480
Siekkinen;1478
Tuhkanen;1474
Kataja;1472
Siltanen;1469
Rämö;1465
Hakulinen;1464
Poutanen;1457
Vesala;1456
Pettersson;1455
Piipponen;1448
Peltomäki;1443
Nyyssönen;1439
Talvitie;1438
Lindén;1437
Montonen;1437
Toikka;1437
Salin;1432
Vänskä;1430
Pellinen;1428
Piippo;1428
Honkonen;1426
Kuusinen;1426
Stenberg;1422
Kuivalainen;1420
Sjöberg;1420
Wallenius;1420
Haapalainen;1416
Parkkonen;1415
Räihä;1413
Sandström;1412
Valli;1412
Mäntynen;1409
Kuikka;1408
Palosaari;1407
Torvinen;1404
Mykkänen;1402
Turtiainen;1400
Kuittinen;1393
Vaittinen;1390
Jaakola;1388
Kärnä;1387
Kuparinen;1380
Syrjänen;1378
Jalkanen;1377
Herranen;1374
Sippola;1374
Suni;1369
Nikkilä;1368
Rahkonen;1364
Jäppinen;1360
Nikkinen;1360
Grönholm;1359
Iivonen;1358
Soikkeli;1358
Hallikainen;1354
Orava;1353
Utriainen;1353
Lamberg;1351
Savela;1350
Pellikka;1348
Männikkö;1344
Reijonen;1343
Kakko;1341
Pursiainen;1340
Annala;1337
Lönnqvist;1337
Vuorenmaa;1336
Ervasti;1335
Nordlund;1334
Hynynen;1333
Raunio;1332
Niskala;1331
